"To","From","total_count"
2239,2489,1
2243,2657,1
2248,2210,2
2248,2586,1
2227,2352,1
2257,2627,2
2263,2511,1
2263,2621,1
2273,727,3
2273,1922,1
2277,556,1
2277,2314,1
2277,2599,1
2280,462,1
2295,2294,8
2298,2297,5
2299,300,1
2299,558,1
2299,1277,3
2299,1479,4
2299,2312,1
2299,2506,2
2299,1747,1
2309,936,1
2306,446,1
2306,2307,6
2311,1673,1
2312,681,1
2312,1302,1
2312,1650,2
2312,2606,1
2312,1696,2
2312,1805,1
2314,2599,1
2318,2600,1
2320,2669,1
2334,2457,1
2356,2357,4
2358,2356,4
2358,2357,4
2360,1270,1
2360,1288,1
2360,2506,1
2364,547,2
2364,666,1
2364,1482,1
2364,1483,1
2364,2363,9
2374,80,1
2374,536,1
2374,803,1
2374,2132,1
2374,1876,1
2388,2486,1
2381,144,2
2381,1277,1
2381,2185,1
2381,2433,1
2381,2533,2
2381,1832,1
2381,1920,1
2397,160,1
2397,1455,1
2397,2004,1
2397,2431,1
2403,2407,1
2409,440,1
2409,2508,1
2408,2463,1
2416,2660,1
2416,2662,1
2417,2418,1
2417,2467,1
2420,134,1
2420,1735,1
2438,2606,1
2469,2483,1
2469,2495,1
2448,667,1
2448,1445,1
2448,2053,1
2450,2591,1
2451,2489,2
2454,2640,2
2477,2476,2
2497,2555,1
2504,1065,3
2506,1277,2
2506,1332,1
2506,1479,2
2509,1432,1
2511,138,2
2511,196,1
2511,1484,3
2511,2132,3
2511,2602,1
2529,2528,2
2548,432,1
2551,791,2
2551,1805,1
2554,733,1
2589,2588,5
2608,246,1
2608,2607,7
2626,689,1
2629,2673,1
2631,2670,1
2649,2650,3
2649,1949,1
2651,2649,3
2651,2650,3
2651,1949,1
2657,2163,1
2667,0,1
0,159,1
0,534,1
0,588,1
0,1484,1
0,1584,1
0,1695,1
4,1235,1
4,2481,1
7,1447,1
10,307,1
10,1302,1
13,820,1
13,989,1
13,2457,1
13,1865,1
20,2271,1
1693,1752,1
1694,1873,1
1696,681,1
1696,1805,1
1701,1933,2
1686,201,1
1686,850,1
1686,1696,1
1712,1764,1
1713,1712,12
1713,1764,1
1717,635,1
1720,2039,3
1727,2065,1
1731,2472,1
1747,1828,1
1750,187,1
1750,424,1
1750,722,1
1751,187,1
1751,424,1
1751,722,1
1751,1750,9
1748,890,1
1748,2160,1
1752,2240,1
1753,1798,1
1755,1754,3
1757,246,2
1757,397,1
1757,2579,1
1758,101,1
1758,1293,2
1758,1302,2
1758,1650,5
1758,2045,1
1758,2176,1
1758,2367,2
1758,2539,1
1758,1696,1
1758,1791,3
1758,1805,5
1759,1900,1
1759,1901,1
1761,1395,2
1761,2156,1
1761,1800,2
1761,1938,3
1764,2325,1
1767,2674,1
1768,2540,2
1770,2114,1
1777,2433,1
1777,1948,1
1786,476,1
1786,2506,1
1787,476,1
1787,2506,1
1787,1786,10
1790,2450,1
1791,60,1
1791,105,2
1791,565,1
1791,1302,1
1791,1485,1
1791,2147,1
1791,1696,2
1791,1805,1
1800,2156,1
1808,1809,4
1810,1121,1
1806,53,1
1806,246,4
1806,307,1
1806,334,6
1806,1140,1
1806,1302,2
1806,1482,1
1806,1483,1
1806,1650,1
1806,2312,1
1806,2551,1
1806,1696,1
1806,1758,5
1806,1791,1
1806,1805,54
1807,1633,1
1815,308,1
1815,309,1
1815,324,1
1815,2544,2
1817,2103,2
1817,2409,1
1819,2108,1
1819,2281,1
1825,2606,1
1840,699,1
1840,2009,1
1840,0,1
1848,112,1
1848,246,1
1848,516,1
1848,1847,29
1849,65,1
1849,542,1
1849,583,1
1849,2439,1
1849,1850,7
1850,2439,1
1859,918,1
1860,918,1
1860,1859,2
1865,2457,1
1867,172,1
1874,1935,1
1878,2347,1
1884,2166,1
1885,1493,1
1893,1942,1
1900,1901,16
1906,1905,11
1920,2519,1
1921,234,1
1921,807,1
1921,1306,1
1921,2381,1
1921,2519,1
1921,1920,8
1922,2027,1
1925,2334,1
1925,2457,1
1926,2160,2
1926,2161,2
1927,1167,1
1932,1701,2
1932,1933,5
1934,1888,1
1934,1889,1
1938,1395,2
1938,2156,1
1938,1800,2
1941,2327,1
1945,327,1
1949,1215,1
1949,2316,1
1949,2454,2
1949,2650,1
1954,1368,1
1954,1963,1
