"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"KUR","pa-<U+1E2B>a-[",NA,"KUB 51.33 I 17'",526,"<U+1E2A>attuša","sjh.","(Bo 1077)","Pa<U+1E2B>ašunuwa"
"KUR","pa-<U+1E2B>a-šu-nu-wa",NA,"KUB 57.102 IV 15'",526,"<U+1E2A>attuša","sjh.","(Bo 842)","Pa<U+1E2B>ašunuwa"
"<U+1E2A>UR.SAG","pa-<U+1E2B>a-šu-n[u-",NA,"KUB 57.102 IV 22'",526,"<U+1E2A>attuša","sjh.","(Bo 842)","Pa<U+1E2B>ašunuwa"
"KUR","pa-<U+1E2B>a-šu-nu-wa",NA,"KUB 57.102 IV 23'",526,"<U+1E2A>attuša","sjh.","(Bo 842)","Pa<U+1E2B>ašunuwa"
"KUR","pa-<U+1E2B>a-šu-nu-wa-an",NA,"KUB 57.102 IV 5'",526,"<U+1E2A>attuša","sjh.","(Bo 842)","Pa<U+1E2B>ašunuwa"
"<U+1E2A>UR.SAG","pa-a<U+1E2B>-<U+1E2B>a-aš-šu-nu-wa-[",NA,"KUB 58.71 Vs. 22'",670,"<U+1E2A>attuša","sjh.","(Bo 2991)","Pa<U+1E2B>ašunuwa"
"<U+1E2A>UR.SAG","pa-a<U+1E2B>-<U+1E2B>a-aš-šu-nu-wa-ya",NA,"KUB 58.71 Vs. 5'",670,"<U+1E2A>attuša","sjh.","(Bo 2991)","Pa<U+1E2B>ašunuwa"
"<U+1E2A>UR.SAG","pa-a<U+1E2B>-<U+1E2B>a-aš-šu-nu-wa-[y]a",NA,"KUB 58.71 Vs. 7'",670,"<U+1E2A>attuša","sjh.","(Bo 2991)","Pa<U+1E2B>ašunuwa"
"<U+1E2A>UR.SAG","pa-a<U+1E2B>-<U+1E2B>a-aš-šu-nu-wa",NA,"KUB 58.71 Vs. 9'",670,"<U+1E2A>attuša","sjh.","(Bo 2991)","Pa<U+1E2B>ašunuwa"
"KUR <U+1E2A>UR.SAG","pa-<U+1E2B>u-ri-na",NA,"KUB 23.11 II 18'",142,"<U+1E2A>attuša","jh.","(VAT 7431)","Pa<U+1E2B>urina"
